Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Human_Gene_Atlas	Lung	3/299	0.23909711951499435	1.0	0	0	1.7758309408944266	2.54101065816132	JUN;STAT3;S100A10
Human_Gene_Atlas	Bonemarrow	1/52	0.255475752456584	1.0	0	0	3.403675970047652	4.644750769790524	SLC25A37
Human_Gene_Atlas	BDCA4+ DendriticCells	4/495	0.3066098967550257	1.0	0	0	1.430231518727094	1.6907897152350966	BCL11A;GPR183;ANKRD12;ALOX5AP
Human_Gene_Atlas	Amygdala	3/345	0.30940887666236505	1.0	0	0	1.5390534821085031	1.8054507908135573	GNAO1;MYRIP;HES4
Human_Gene_Atlas	small intestine	2/220	0.3535717261780747	1.0	0	0	1.6090104585679808	1.6728381517606552	FUT2;FOXP1
Human_Gene_Atlas	OlfactoryBulb	1/83	0.3757774696582015	1.0	0	0	2.132423499306962	2.087126872399468	AHNAK
Human_Gene_Atlas	Pituitary	1/84	0.3793190181113705	1.0	0	0	2.1070375052675936	2.0425151528014074	ZCCHC12
Human_Gene_Atlas	CD71+ EarlyErythroid	4/553	0.3810658399561626	1.0	0	0	1.2802253196562596	1.235139766040329	SLC25A37;USP15;LY9;ART4
Human_Gene_Atlas	Prostate	2/249	0.4117936733907061	1.0	0	0	1.4216156662046415	1.2613041160211549	RPL13;ZBTB20
Human_Gene_Atlas	Hypothalamus	1/97	0.42358656159272895	1.0	0	0	1.8246510354894627	1.5673704772255344	ZCCHC12
Human_Gene_Atlas	Cerebellum	1/108	0.4585890176972445	1.0	0	0	1.6388069485414618	1.2776153003930573	KCNJ12
Human_Gene_Atlas	Skin	1/111	0.4677638824651416	1.0	0	0	1.594514868851152	1.2114990592792918	ZFP28
Human_Gene_Atlas	Tongue	1/115	0.4797577273733034	1.0	0	0	1.5390534821085031	1.1303948243794648	S100A8
Human_Gene_Atlas	Appendix	1/127	0.5141552165788452	1.0	0	0	1.3936311058462825	0.9270853338906421	RPL13
Human_Gene_Atlas	Fetalbrain	2/325	0.5505523117670305	1.0	0	0	1.0891763104152483	0.6500566931709559	BCL11A;ANKRD12
Human_Gene_Atlas	Kidney	1/142	0.5539976699043424	1.0	0	0	1.246416552411816	0.7361271322354963	SLC4A4
Human_Gene_Atlas	Lymphoma burkitts(Raji)	2/355	0.5987400612778351	1.0	0	0	0.997133241929453	0.5114572898050278	CD79A;RPL13
Human_Gene_Atlas	Uterus	1/201	0.6816540472104836	1.0	0	0	0.8805529872760094	0.3374569735344192	RPL23AP32
Human_Gene_Atlas	retina	1/218	0.7111820233202223	1.0	0	0	0.8118860112040269	0.2767125693336597	MYRIP
Human_Gene_Atlas	Wholebrain	1/240	0.7453983707745704	1.0	0	0	0.7374631268436579	0.2166935675852548	GNAO1
Human_Gene_Atlas	colon	1/258	0.7703800635303123	1.0	0	0	0.6860122110173561	0.17896089518349662	SLC4A4
Human_Gene_Atlas	AtrioventricularNode	1/269	0.7844340730052323	1.0	0	0	0.6579596670724085	0.15974783518104016	ZFP28
Human_Gene_Atlas	CD56+ NKCells	3/752	0.8024721407676041	1.0	0	0	0.7060817171907362	0.15537902946828686	DUSP2;STK4;KLF2
Human_Gene_Atlas	Colorectaladenocarcinoma	1/292	0.8111234510035065	1.0	0	0	0.606134076857801	0.1268850865145061	SLC2A3
Human_Gene_Atlas	TestisIntersitial	2/568	0.8348948488543021	1.0	0	0	0.623208276205908	0.11245761658785657	ABHD1;INTS6
Human_Gene_Atlas	SuperiorCervicalGanglion	2/602	0.8581914163414488	1.0	0	0	0.5880104665863053	0.0899233283787524	RLN2;SLC4A4
Human_Gene_Atlas	Liver	2/618	0.8680911328231474	1.0	0	0	0.5727868946358508	0.08102561967024449	RARRES2;APOF
Human_Gene_Atlas	CD34+	2/645	0.8833813471978548	1.0	0	0	0.5488097688138849	0.06805147551833682	BCL11A;TRA2B
Human_Gene_Atlas	Testis	1/384	0.8888532092816603	1.0	0	0	0.4609144542772861	0.054306404876534466	GGA1
Human_Gene_Atlas	Thyroid	1/388	0.8913924048042257	1.0	0	0	0.4561627588723657	0.05244527827330772	MMP15
Human_Gene_Atlas	Placenta	1/405	0.9015578167692418	1.0	0	0	0.4370151862777232	0.0452883664068559	FLT4
Human_Gene_Atlas	SkeletalMuscle	1/441	0.920075507667346	1.0	0	0	0.4013404771938274	0.03343147663413301	TNR
Human_Gene_Atlas	PrefrontalCortex	1/521	0.94976939160735	1.0	0	0	0.33971430027347	0.017507539799746848	TSPYL2
Human_Gene_Atlas	pineal day	1/694	0.9817218607551657	1.0	0	0	0.2550304761418989	0.004704610509089623	N4BP2L2
Human_Gene_Atlas	721 B lymphoblasts	2/1543	0.9988229633578256	1.0	0	0	0.2294117309688631	0.00027018505356071434	TNFRSF13B;FGD2
