Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Human_Gene_Atlas	Colorectaladenocarcinoma	4/292	0.21556386146036327	1.0	0	0	1.6808135137406506	2.5792050969917897	TOP2A;MCM7;UBE2S;KPNA2
Human_Gene_Atlas	BDCA4+ DendriticCells	6/495	0.21767165287201007	1.0	0	0	1.487265290946273	2.2677338257784894	FKBP11;IGKC;ALG5;GPX7;CD38;HSP90B1
Human_Gene_Atlas	Liver	7/618	0.24033813013484584	1.0	0	0	1.3897988762483375	1.981448031704472	FCN3;EBP;SDF2L1;ALG3;UPB1;YIF1A;ISOC2
Human_Gene_Atlas	Lymphnode	1/37	0.2614443643251304	1.0	0	0	3.3161996352180405	4.44879381210332	IGKC
Human_Gene_Atlas	AtrioventricularNode	3/269	0.37577702956881454	1.0	0	0	1.3683946450156226	1.3393290094501855	IGKC;CLTA;GLI1
Human_Gene_Atlas	FetalThyroid	1/66	0.4178261004589483	1.0	0	0	1.8590816136828408	1.6224018602547834	CALR
Human_Gene_Atlas	Fetalbrain	3/325	0.495704359718032	1.0	0	0	1.132609721566777	0.7948378430436104	GPR153;RASL11B;NCAM1
Human_Gene_Atlas	Pituitary	1/84	0.4978416949513665	1.0	0	0	1.4607069821793748	1.018803876886239	TRGV5
Human_Gene_Atlas	small intestine	2/220	0.5373460268905439	1.0	0	0	1.1154489682097044	0.6928198791045941	IGKC;ADH5
Human_Gene_Atlas	Lymphoma burkitts(Raji)	3/355	0.5551661263432461	1.0	0	0	1.0368962239695845	0.6102008640253287	DNMT1;MATN1;TIMM44
Human_Gene_Atlas	Wholebrain	2/240	0.5846240771250191	1.0	0	0	1.0224948875255624	0.5488611876414217	FSD1;DYNLL1
Human_Gene_Atlas	Prostate	2/249	0.6047150803101835	1.0	0	0	0.9855372409884938	0.4957231364872462	XBP1;NANS
Human_Gene_Atlas	Tongue	1/115	0.6108504524766009	1.0	0	0	1.0669511869831956	0.525903556574651	FABP5
Human_Gene_Atlas	colon	2/258	0.6240678851378396	1.0	0	0	0.9511580349075	0.44846732890563934	FH;ADH5
Human_Gene_Atlas	CardiacMyocytes	2/273	0.6546914895196329	1.0	0	0	0.8988966044180768	0.3807646577883925	FH;KIF22
Human_Gene_Atlas	Lung	2/299	0.7030445002037139	1.0	0	0	0.8207316822947659	0.28917257011538217	FCN3;SLCO2A1
Human_Gene_Atlas	Amygdala	2/345	0.7748157236813772	1.0	0	0	0.7113007913221304	0.1814742091558334	PGRMC1;AGAP1
Human_Gene_Atlas	CD34+	4/645	0.7749946678945351	1.0	0	0	0.7609264279260001	0.1939594843114412	NASP;USP1;GAR1;NUCB2
Human_Gene_Atlas	TrigeminalGanglion	1/196	0.8004803254681758	1.0	0	0	0.6260172780768749	0.13931596635223473	ZSWIM1
Human_Gene_Atlas	TestisIntersitial	3/568	0.8454907285035924	1.0	0	0	0.6480601399809903	0.10876916728601856	TKTL1;RUVBL2;KPNA2
Human_Gene_Atlas	Heart	2/415	0.8550920353740705	1.0	0	0	0.5913223445930964	0.09256924953872857	TSPAN9;CD320
Human_Gene_Atlas	SkeletalMuscle	2/441	0.8776056250193346	1.0	0	0	0.5564598027350001	0.07265025694177844	CLSPN;SMC1A
Human_Gene_Atlas	pineal day	3/694	0.9251772499675476	1.0	0	0	0.5304008062092256	0.041249237941467634	PODXL;TSPAN9;PPP2R2B
Human_Gene_Atlas	CD56+ NKCells	3/752	0.9473768989943012	1.0	0	0	0.4894922333898969	0.026461104476514858	FKBP11;DERL1;NCAM1
Human_Gene_Atlas	SuperiorCervicalGanglion	2/602	0.9589811123991842	1.0	0	0	0.4076391578175	0.017073517474496914	LMAN1;MATN1
Human_Gene_Atlas	Placenta	1/405	0.9648557498676604	1.0	0	0	0.3029614481557222	0.010838952001552249	SLCO2A1
Human_Gene_Atlas	CD4+ Tcells	1/533	0.9879762397705272	1.0	0	0	0.23020522796072698	0.0027847075446776354	ANKRD55
Human_Gene_Atlas	pineal night	1/674	0.9963398285893486	1.0	0	0	0.1820465675119696	0.0006675440512566843	DERL1
Human_Gene_Atlas	CD33+ Myeloid	1/679	0.9964915005315256	1.0	0	0	0.1807060184139433	0.0006351217844287029	VCP
