seqname,source,feature,start,end,score,strand,frame,gene_id,gene_type,gene_name,level,hgnc_id,havana_gene,transcript_id,transcript_type,transcript_name,transcript_support_level,tag,havana_transcript,exon_number,exon_id,ont,protein_id,ccdsid
chr1,HAVANA,gene,1335276,1349418,,-,0,ENSG00000107404.20,protein_coding,DVL1,2,HGNC:3084,OTTHUMG00000003069.1,,,,,ncRNA_host,,,,,,
chr1,HAVANA,gene,1352689,1361777,,-,0,ENSG00000162576.16,protein_coding,MXRA8,2,HGNC:7542,OTTHUMG00000002973.1,,,,,,,,,,,
chr1,HAVANA,gene,1373730,1375495,,-,0,ENSG00000175756.13,protein_coding,AURKAIP1,2,HGNC:24114,OTTHUMG00000001413.1,,,,,,,,,,,
chr1,HAVANA,gene,1385711,1399335,,-,0,ENSG00000221978.12,protein_coding,CCNL2,2,HGNC:20570,OTTHUMG00000002917.1,,,,,,,,,,,
chr1,HAVANA,gene,1401909,1407293,,-,0,ENSG00000242485.6,protein_coding,MRPL20,1,HGNC:14478,OTTHUMG00000002916.1,,,,,ncRNA_host,,,,,,
chr1,HAVANA,gene,1418420,1421769,,-,0,ENSG00000235098.8,protein_coding,ANKRD65,1,HGNC:42950,OTTHUMG00000002911.1,,,,,,,,,,,
chr1,HAVANA,gene,1426128,1427787,,+,0,ENSG00000205116.3,protein_coding,TMEM88B,2,HGNC:37099,OTTHUMG00000153395.1,,,,,,,,,,,
chr1,HAVANA,gene,1434861,1442882,,+,0,ENSG00000179403.12,protein_coding,VWA1,1,HGNC:30910,OTTHUMG00000002975.1,,,,,,,,,,,
chr1,HAVANA,gene,1449689,1470163,,+,0,ENSG00000215915.10,protein_coding,ATAD3C,2,HGNC:32151,OTTHUMG00000000531.1,,,,,,,,,,,
chr1,HAVANA,gene,1471765,1497848,,+,0,ENSG00000160072.20,protein_coding,ATAD3B,2,HGNC:24007,OTTHUMG00000000577.1,,,,,,,,,,,
chr1,HAVANA,gene,1512162,1534685,,+,0,ENSG00000197785.14,protein_coding,ATAD3A,2,HGNC:25567,OTTHUMG00000000575.1,,,,,,,,,,,
chr1,HAVANA,gene,1534778,1540624,,-,0,ENSG00000205090.9,protein_coding,TMEM240,2,HGNC:25186,OTTHUMG00000042193.1,,,,,,,,,,,
chr1,HAVANA,gene,1541673,1574863,,-,0,ENSG00000160075.12,protein_coding,SSU72,2,HGNC:25016,OTTHUMG00000000576.1,,,,,,,,,,,
chr1,HAVANA,gene,1598012,1600135,,-,0,ENSG00000228594.4,protein_coding,FNDC10,2,HGNC:42951,OTTHUMG00000154864.1,,,,,,,,,,,
chr1,HAVANA,gene,1615415,1630610,,+,0,ENSG00000197530.12,protein_coding,MIB2,1,HGNC:30577,OTTHUMG00000074647.1,,,,,,,,,,,
chr1,HAVANA,gene,1632163,1635263,,+,0,ENSG00000189409.14,protein_coding,MMP23B,2,HGNC:7171,OTTHUMG00000074713.1,,,,,,,,,,,
chr1,HAVANA,gene,1635227,1659012,,-,0,ENSG00000248333.8,protein_coding,CDK11B,2,HGNC:1729,OTTHUMG00000078638.1,,,,,,,,,,,
chr1,HAVANA,gene,1659529,1692795,,-,0,ENSG00000189339.12,protein_coding,SLC35E2B,2,HGNC:33941,OTTHUMG00000078639.1,,,,,,,,,,,
chr1,HAVANA,gene,1702379,1724357,,-,0,ENSG00000008128.23,protein_coding,CDK11A,2,HGNC:1730,OTTHUMG00000000703.1,,,,,overlapping_locus,,,,,,
chr1,HAVANA,gene,1724838,1745999,,-,0,ENSG00000215790.7,protein_coding,SLC35E2A,2,HGNC:20863,OTTHUMG00000000823.1,,,,,overlapping_locus,,,,,,
chr1,HAVANA,gene,1751232,1780457,,-,0,ENSG00000008130.15,protein_coding,NADK,2,HGNC:29831,OTTHUMG00000000942.1,,,,,,,,,,,
chr1,HAVANA,gene,1785285,1891117,,-,0,ENSG00000078369.18,protein_coding,GNB1,1,HGNC:4396,OTTHUMG00000000940.1,,,,,,,,,,,
chr1,HAVANA,gene,1915108,1917296,,+,0,ENSG00000169885.10,protein_coding,CALML6,1,HGNC:24193,OTTHUMG00000000943.1,,,,,,,,,,,
chr1,HAVANA,gene,1917590,1919279,,-,0,ENSG00000178821.13,protein_coding,TMEM52,2,HGNC:27916,OTTHUMG00000000944.1,,,,,,,,,,,
chr1,HAVANA,gene,1921951,2003837,,-,0,ENSG00000142609.18,protein_coding,CFAP74,1,HGNC:29368,OTTHUMG00000000945.1,,,,,,,,,,,
chr1,HAVANA,gene,2019329,2030758,,+,0,ENSG00000187730.9,protein_coding,GABRD,2,HGNC:4084,OTTHUMG00000041064.1,,,,,,,,,,,
chr1,HAVANA,gene,2050411,2185395,,+,0,ENSG00000067606.17,protein_coding,PRKCZ,1,HGNC:9412,OTTHUMG00000001238.1,,,,,,,,,,,
chr1,HAVANA,gene,2184461,2212720,,-,0,ENSG00000162585.17,protein_coding,FAAP20,2,HGNC:26428,OTTHUMG00000001404.1,,,,,,,,,,,
chr1,HAVANA,gene,2228319,2310213,,+,0,ENSG00000157933.10,protein_coding,SKI,2,HGNC:10896,OTTHUMG00000001407.1,,,,,,,,,,,
chr1,HAVANA,gene,2321253,2391707,,-,0,ENSG00000116151.14,protein_coding,MORN1,1,HGNC:25852,OTTHUMG00000001402.1,,,,,overlapping_locus,,,,,,
chr1,HAVANA,gene,2391775,2405442,,+,0,ENSG00000157916.20,protein_coding,RER1,2,HGNC:30309,OTTHUMG00000001403.1,,,,,,,,,,,
chr1,HAVANA,gene,2403964,2413797,,-,0,ENSG00000157911.11,protein_coding,PEX10,1,HGNC:8851,OTTHUMG00000001637.1,,,,,,,,,,,
chr1,HAVANA,gene,2425980,2505532,,+,0,ENSG00000149527.18,protein_coding,PLCH2,2,HGNC:29037,OTTHUMG00000000719.1,,,,,,,,,,,
chr1,HAVANA,gene,2508537,2526597,,-,0,ENSG00000157881.16,protein_coding,PANK4,2,HGNC:19366,OTTHUMG00000000791.1,,,,,,,,,,,
chr1,HAVANA,gene,2528745,2530263,,-,0,ENSG00000197921.6,protein_coding,HES5,2,HGNC:19764,OTTHUMG00000000793.1,,,,,,,,,,,
chr1,HAVANA,gene,2555639,2565382,,+,0,ENSG00000157873.17,protein_coding,TNFRSF14,2,HGNC:11912,OTTHUMG00000000792.1,,,,,,,,,,,
chr1,HAVANA,gene,2586491,2591469,,+,0,ENSG00000157870.17,protein_coding,PRXL2B,2,HGNC:28390,OTTHUMG00000000847.1,,,,,,,,,,,
chr1,HAVANA,gene,2590639,2633016,,-,0,ENSG00000142606.16,protein_coding,MMEL1,2,HGNC:14668,OTTHUMG00000000846.1,,,,,,,,,,,
chr1,HAVANA,gene,2635976,2801717,,-,0,ENSG00000215912.12,protein_coding,TTC34,2,HGNC:34297,OTTHUMG00000000539.1,,,,,,,,,,,
chr1,HAVANA,gene,3021467,3022903,,+,0,ENSG00000169717.7,protein_coding,ACTRT2,2,HGNC:24026,OTTHUMG00000000562.1,,,,,retrogene,,,,,,
chr1,HAVANA,gene,3069168,3438621,,+,0,ENSG00000142611.17,protein_coding,PRDM16,1,HGNC:14000,OTTHUMG00000000581.1,,,,,"ncRNA_host,overlapping_locus",,,,,,
chr1,HAVANA,gene,3454665,3481113,,+,0,ENSG00000130762.15,protein_coding,ARHGEF16,2,HGNC:15515,OTTHUMG00000000625.1,,,,,,,,,,,
chr1,HAVANA,gene,3487951,3611508,,-,0,ENSG00000162591.16,protein_coding,MEGF6,2,HGNC:3232,OTTHUMG00000000611.1,,,,,ncRNA_host,,,,,,
chr1,HAVANA,gene,3625015,3630127,,+,0,ENSG00000158109.15,protein_coding,TPRG1L,2,HGNC:27007,OTTHUMG00000000609.1,,,,,,,,,,,
chr1,HAVANA,gene,3630767,3652761,,-,0,ENSG00000116213.16,protein_coding,WRAP73,1,HGNC:12759,OTTHUMG00000000612.1,,,,,,,,,,,
chr1,HAVANA,gene,3652516,3736201,,+,0,ENSG00000078900.15,protein_coding,TP73,1,HGNC:12003,OTTHUMG00000000610.1,,,,,,,,,,,
chr1,HAVANA,gene,3746460,3771645,,+,0,ENSG00000162592.10,protein_coding,CCDC27,2,HGNC:26546,OTTHUMG00000003504.1,,,,,,,,,,,
chr1,HAVANA,gene,3772655,3775982,,+,0,ENSG00000235169.9,protein_coding,SMIM1,1,HGNC:44204,OTTHUMG00000003505.1,,,,,,,,,,,
chr1,HAVANA,gene,3778559,3796498,,-,0,ENSG00000130764.10,protein_coding,LRRC47,2,HGNC:29207,OTTHUMG00000003506.1,,,,,,,,,,,
chr1,HAVANA,gene,3812086,3857214,,-,0,ENSG00000116198.13,protein_coding,CEP104,2,HGNC:24866,OTTHUMG00000003507.1,,,,,,,,,,,
chr1,HAVANA,gene,3857267,3885429,,+,0,ENSG00000169598.16,protein_coding,DFFB,2,HGNC:2773,OTTHUMG00000003525.1,,,,,,,,,,,
chr1,HAVANA,gene,3889125,3900293,,-,0,ENSG00000198912.11,protein_coding,C1orf174,2,HGNC:27915,OTTHUMG00000003739.1,,,,,,,,,,,
chr1,HAVANA,gene,4654609,4792534,,+,0,ENSG00000196581.11,protein_coding,AJAP1,2,HGNC:30801,OTTHUMG00000000645.1,,,,,,,,,,,
chr1,HAVANA,gene,5862811,5992473,,-,0,ENSG00000131697.18,protein_coding,NPHP4,2,HGNC:19104,OTTHUMG00000000701.1,,,,,,,,,,,
chr1,HAVANA,gene,5990927,6101193,,+,0,ENSG00000069424.15,protein_coding,KCNAB2,2,HGNC:6229,OTTHUMG00000000795.1,,,,,,,,,,,
chr1,HAVANA,gene,6101787,6180321,,-,0,ENSG00000116254.18,protein_coding,CHD5,2,HGNC:16816,OTTHUMG00000000952.1,,,,,,,,,,,
chr1,HAVANA,gene,6159430,6197757,,-,0,ENSG00000285629.1,protein_coding,AL031847.2,2,,OTTHUMG00000000953.1,,,,,overlapping_locus,,,,,,
chr1,HAVANA,gene,6185020,6209389,,-,0,ENSG00000116251.11,protein_coding,RPL22,1,HGNC:10315,OTTHUMG00000193375.1,,,,,overlapping_locus,,,,,,
chr1,HAVANA,gene,6205475,6221299,,+,0,ENSG00000158286.13,protein_coding,RNF207,2,HGNC:32947,OTTHUMG00000001089.1,,,,,,,,,,,
chr1,HAVANA,gene,6221193,6235972,,-,0,ENSG00000116237.16,protein_coding,ICMT,2,HGNC:5350,OTTHUMG00000001254.1,,,,,,,,,,,
chr1,HAVANA,gene,6244179,6245578,,+,0,ENSG00000173673.8,protein_coding,HES3,2,HGNC:26226,OTTHUMG00000001271.1,,,,,,,,,,,
chr1,HAVANA,gene,6247353,6261098,,-,0,ENSG00000158292.7,protein_coding,GPR153,2,HGNC:23618,OTTHUMG00000001272.1,,,,,,,,,,,
chr1,HAVANA,gene,6264269,6394391,,-,0,ENSG00000097021.19,protein_coding,ACOT7,2,HGNC:24157,OTTHUMG00000001295.1,,,,,,,,,,,
chr1,HAVANA,gene,6412418,6424670,,-,0,ENSG00000069812.11,protein_coding,HES2,2,HGNC:16005,OTTHUMG00000000752.1,,,,,,,,,,,
chr1,HAVANA,gene,6424776,6461367,,+,0,ENSG00000187017.17,protein_coding,ESPN,2,HGNC:13281,OTTHUMG00000000753.1,,,,,,,,,,,
chr1,HAVANA,gene,6460786,6466195,,-,0,ENSG00000215788.10,protein_coding,TNFRSF25,2,HGNC:11910,OTTHUMG00000000831.1,,,,,overlapping_locus,,,,,,
chr1,HAVANA,gene,6466092,6520061,,-,0,ENSG00000171680.22,protein_coding,PLEKHG5,2,HGNC:29105,OTTHUMG00000000905.1,,,,,overlapping_locus,,,,,,
chr1,HAVANA,gene,6521347,6554513,,-,0,ENSG00000162408.11,protein_coding,NOL9,2,HGNC:26265,OTTHUMG00000000904.1,,,,,,,,,,,
chr1,HAVANA,gene,6555307,6579755,,+,0,ENSG00000173662.21,protein_coding,TAS1R1,1,HGNC:14448,OTTHUMG00000001441.1,,,,,,,,,,,
chr1,HAVANA,gene,6579994,6589280,,+,0,ENSG00000204859.13,protein_coding,ZBTB48,2,HGNC:4930,OTTHUMG00000001438.1,,,,,,,,,,,
chr1,HAVANA,gene,6590724,6614607,,-,0,ENSG00000162413.16,protein_coding,KLHL21,1,HGNC:29041,OTTHUMG00000001437.1,,,,,,,,,,,
chr1,HAVANA,gene,6613731,6624030,,+,0,ENSG00000116273.6,protein_coding,PHF13,2,HGNC:22983,OTTHUMG00000001439.1,,,,,,,,,,,
chr1,HAVANA,gene,6624866,6635586,,+,0,ENSG00000041988.15,protein_coding,THAP3,2,HGNC:20855,OTTHUMG00000001440.1,,,,,,,,,,,
chr1,HAVANA,gene,6634168,6701924,,-,0,ENSG00000007923.16,protein_coding,DNAJC11,2,HGNC:25570,OTTHUMG00000001443.1,,,,,,,,,,,
chr1,HAVANA,gene,6785454,7769706,,+,0,ENSG00000171735.19,protein_coding,CAMTA1,1,HGNC:18806,OTTHUMG00000001212.1,,,,,"ncRNA_host,overlapping_locus",,,,,,
chr1,HAVANA,gene,7771296,7781432,,+,0,ENSG00000049245.13,protein_coding,VAMP3,1,HGNC:12644,OTTHUMG00000001225.1,,,,,overlapping_locus,,,,,,
chr1,HAVANA,gene,7784320,7845177,,+,0,ENSG00000049246.14,protein_coding,PER3,1,HGNC:8847,OTTHUMG00000001216.1,,,,,,,,,,,
chr1,HAVANA,gene,7843083,7853512,,-,0,ENSG00000049247.13,protein_coding,UTS2,2,HGNC:12636,OTTHUMG00000001218.1,,,,,,,,,,,
chr1,HAVANA,gene,7915871,7943165,,-,0,ENSG00000049249.9,protein_coding,TNFRSF9,1,HGNC:11924,OTTHUMG00000001223.1,,,,,,,,,,,
chr1,HAVANA,gene,7954291,7985505,,+,0,ENSG00000116288.13,protein_coding,PARK7,1,HGNC:16369,OTTHUMG00000001210.1,,,,,,,,,,,
chr1,HAVANA,gene,8004404,8026309,,-,0,ENSG00000116285.13,protein_coding,ERRFI1,1,HGNC:18185,OTTHUMG00000001221.1,,,,,,,,,,,
chr1,HAVANA,gene,8317826,8344167,,+,0,ENSG00000162426.14,protein_coding,SLC45A1,2,HGNC:17939,OTTHUMG00000000503.1,,,,,ncRNA_host,,,,,,
chr1,HAVANA,gene,8352397,8848921,,-,0,ENSG00000142599.19,protein_coding,RERE,1,HGNC:9965,OTTHUMG00000001765.1,,,,,"ncRNA_host,overlapping_locus",,,,,,
chr1,HAVANA,gene,8861000,8879190,,-,0,ENSG00000074800.16,protein_coding,ENO1,2,HGNC:3350,OTTHUMG00000001773.1,,,,,"ncRNA_host,overlapping_locus",,,,,,
chr1,HAVANA,gene,8945867,8975092,,+,0,ENSG00000131686.15,protein_coding,CA6,1,HGNC:1380,OTTHUMG00000001763.1,,,,,,,,,,,
chr1,HAVANA,gene,9003300,9026345,,-,0,ENSG00000197241.3,protein_coding,SLC2A7,2,HGNC:13445,OTTHUMG00000057499.1,,,,,,,,,,,
chr1,HAVANA,gene,9035106,9088478,,-,0,ENSG00000142583.18,protein_coding,SLC2A5,2,HGNC:11010,OTTHUMG00000001771.1,,,,,,,,,,,
chr1,HAVANA,gene,9100305,9129102,,-,0,ENSG00000180758.12,protein_coding,GPR157,2,HGNC:23687,OTTHUMG00000001758.1,,,,,,,,,,,
chr1,HAVANA,gene,9234774,9271337,,+,0,ENSG00000049239.13,protein_coding,H6PD,1,HGNC:4795,OTTHUMG00000001768.1,,,,,,,,,,,
chr1,HAVANA,gene,9292894,9369532,,+,0,ENSG00000171621.14,protein_coding,SPSB1,2,HGNC:30628,OTTHUMG00000001279.1,,,,,,,,,,,
chr1,HAVANA,gene,9539465,9585173,,+,0,ENSG00000171612.7,protein_coding,SLC25A33,2,HGNC:29681,OTTHUMG00000001322.1,,,,,overlapping_locus,,,,,,
chr1,HAVANA,gene,9588911,9614877,,+,0,ENSG00000188807.13,protein_coding,TMEM201,2,HGNC:33719,OTTHUMG00000057457.1,,,,,,,,,,,
chr1,HAVANA,gene,9651731,9729114,,+,0,ENSG00000171608.16,protein_coding,PIK3CD,2,HGNC:8977,OTTHUMG00000001450.1,,,,,,,,,,,
chr1,HAVANA,gene,9728926,9823984,,-,0,ENSG00000171603.18,protein_coding,CLSTN1,2,HGNC:17447,OTTHUMG00000001451.1,,,,,,,,,,,
chr1,HAVANA,gene,9848276,9910336,,-,0,ENSG00000178585.15,protein_coding,CTNNBIP1,2,HGNC:16913,OTTHUMG00000001796.1,,,,,,,,,,,
chr1,HAVANA,gene,9922113,9943407,,-,0,ENSG00000162441.12,protein_coding,LZIC,1,HGNC:17497,OTTHUMG00000001804.1,,,,,,,,,,,
chr1,HAVANA,gene,9943428,9985501,,+,0,ENSG00000173614.14,protein_coding,NMNAT1,1,HGNC:17877,OTTHUMG00000001799.1,,,,,"ncRNA_host,overlapping_locus",,,,,,
chr1,HAVANA,gene,9997206,10016021,,+,0,ENSG00000162444.12,protein_coding,RBP7,2,HGNC:30316,OTTHUMG00000001798.1,,,,,,,,,,,
chr1,HAVANA,gene,10032832,10181239,,+,0,ENSG00000130939.20,protein_coding,UBE4B,2,HGNC:12500,OTTHUMG00000001797.1,,,,,"ncRNA_host,overlapping_locus",,,,,,
chr1,HAVANA,gene,10210805,10381603,,+,0,ENSG00000054523.17,protein_coding,KIF1B,1,HGNC:16636,OTTHUMG00000001817.1,,,,,ncRNA_host,,,,,,
chr1,HAVANA,gene,10398592,10420511,,+,0,ENSG00000142657.21,protein_coding,PGD,2,HGNC:8891,OTTHUMG00000001905.1,,,,,,,,,,,
chr1,HAVANA,gene,10430102,10452153,,+,0,ENSG00000251503.8,protein_coding,CENPS-CORT,2,HGNC:38843,OTTHUMG00000162436.1,,,,,overlapping_locus,,,,,,
chr1,HAVANA,gene,10430433,10442808,,+,0,ENSG00000175279.22,protein_coding,CENPS,1,HGNC:23163,OTTHUMG00000059085.1,,,,,overlapping_locus,,,,,,
chr1,HAVANA,gene,10450031,10451998,,+,0,ENSG00000241563.4,protein_coding,CORT,2,HGNC:2257,OTTHUMG00000001906.1,,,,,overlapping_locus,,,,,,
chr1,HAVANA,gene,10456522,10472529,,-,0,ENSG00000160049.12,protein_coding,DFFA,2,HGNC:2772,OTTHUMG00000001909.1,,,,,,,,,,,
chr1,HAVANA,gene,10472288,10630758,,+,0,ENSG00000142655.13,protein_coding,PEX14,2,HGNC:8856,OTTHUMG00000001908.1,,,,,ncRNA_host,,,,,,
chr1,HAVANA,gene,10636604,10796650,,-,0,ENSG00000130940.15,protein_coding,CASZ1,1,HGNC:26002,OTTHUMG00000002035.1,,,,,,,,,,,
chr1,HAVANA,gene,10946471,10982037,,-,0,ENSG00000175262.14,protein_coding,C1orf127,1,HGNC:26730,OTTHUMG00000002032.1,,,,,,,,,,,
chr1,HAVANA,gene,11012344,11025739,,+,0,ENSG00000120948.18,protein_coding,TARDBP,2,HGNC:11571,OTTHUMG00000002120.1,,,,,overlapping_locus,,,,,,
chr1,HAVANA,gene,11012662,11030528,,+,0,ENSG00000277726.4,protein_coding,AL109811.3,2,,OTTHUMG00000186566.1,,,,,overlapping_locus,,,,,,
chr1,HAVANA,gene,11026523,11047239,,-,0,ENSG00000009724.17,protein_coding,MASP2,2,HGNC:6902,OTTHUMG00000002121.1,,,,,,,,,,,
chr1,HAVANA,gene,11054584,11060020,,-,0,ENSG00000116649.10,protein_coding,SRM,1,HGNC:11296,OTTHUMG00000002119.1,,,,,,,,,,,
chr1,HAVANA,gene,11066618,11099869,,-,0,ENSG00000171824.14,protein_coding,EXOSC10,2,HGNC:9138,OTTHUMG00000002123.1,,,,,,,,,,,
chr1,HAVANA,gene,11106535,11262551,,-,0,ENSG00000198793.13,protein_coding,MTOR,2,HGNC:3942,OTTHUMG00000002001.1,,,,,,,,,,,
chr1,HAVANA,gene,11189355,11195981,,+,0,ENSG00000171819.5,protein_coding,ANGPTL7,2,HGNC:24078,OTTHUMG00000002002.1,,,,,,,,,,,
chr1,HAVANA,gene,11273206,11296049,,+,0,ENSG00000120942.13,protein_coding,UBIAD1,2,HGNC:30791,OTTHUMG00000002075.1,,,,,,,,,,,
chr1,HAVANA,gene,11479155,11537551,,+,0,ENSG00000204624.8,protein_coding,DISP3,2,HGNC:29251,OTTHUMG00000002074.1,,,,,,,,,,,
chr1,HAVANA,gene,11637018,11655785,,-,0,ENSG00000116661.11,protein_coding,FBXO2,2,HGNC:13581,OTTHUMG00000002072.1,,,,,,,,,,,
chr1,HAVANA,gene,11654375,11663327,,+,0,ENSG00000132879.14,protein_coding,FBXO44,2,HGNC:24847,OTTHUMG00000002071.1,,,,,,,,,,,
chr1,HAVANA,gene,11664200,11674354,,+,0,ENSG00000116663.11,protein_coding,FBXO6,2,HGNC:13585,OTTHUMG00000002229.1,,,,,,,,,,,
chr1,HAVANA,gene,11674480,11691650,,-,0,ENSG00000116670.15,protein_coding,MAD2L2,2,HGNC:6764,OTTHUMG00000002231.1,,,,,,,,,,,
chr1,HAVANA,gene,11691710,11725857,,+,0,ENSG00000162490.7,protein_coding,DRAXIN,2,HGNC:25054,OTTHUMG00000002227.1,,,,,,,,,,,
chr1,HAVANA,gene,11736084,11754802,,+,0,ENSG00000177674.16,protein_coding,AGTRAP,2,HGNC:13539,OTTHUMG00000002230.1,,,,,,,,,,,
chr1,HAVANA,gene,11761787,11789585,,+,0,ENSG00000215910.7,protein_coding,C1orf167,1,HGNC:25262,OTTHUMG00000002228.1,,,,,,,,,,,
chr1,HAVANA,gene,11785723,11806455,,-,0,ENSG00000177000.13,protein_coding,MTHFR,2,HGNC:7436,OTTHUMG00000002277.1,,,,,,,,,,,
chr1,HAVANA,gene,11806096,11848079,,+,0,ENSG00000011021.23,protein_coding,CLCN6,2,HGNC:2024,OTTHUMG00000002299.1,,,,,"ncRNA_host,overlapping_locus",,,,,,
chr1,HAVANA,gene,11845709,11848345,,-,0,ENSG00000175206.10,protein_coding,NPPA,2,HGNC:7939,OTTHUMG00000002388.1,,,,,,,,,,,
chr1,HAVANA,gene,11857464,11858945,,-,0,ENSG00000120937.9,protein_coding,NPPB,2,HGNC:7940,OTTHUMG00000002389.1,,,,,,,,,,,
chr1,HAVANA,gene,11919591,11926428,,-,0,ENSG00000116685.16,protein_coding,KIAA2013,2,HGNC:28513,OTTHUMG00000002391.1,,,,,,,,,,,
chr1,HAVANA,gene,11934205,11975538,,+,0,ENSG00000083444.17,protein_coding,PLOD1,2,HGNC:9081,OTTHUMG00000002393.1,,,,,,,,,,,
chr1,HAVANA,gene,11980181,12013514,,+,0,ENSG00000116688.17,protein_coding,MFN2,2,HGNC:16877,OTTHUMG00000002392.1,,,,,,,,,,,
chr1,HAVANA,gene,12019466,12032045,,+,0,ENSG00000116691.11,protein_coding,MIIP,2,HGNC:25715,OTTHUMG00000002439.1,,,,,ncRNA_host,,,,,,
chr1,HAVANA,gene,12063303,12144207,,+,0,ENSG00000120949.15,protein_coding,TNFRSF8,2,HGNC:11923,OTTHUMG00000001827.1,,,,,,,,,,,
chr1,HAVANA,gene,12166991,12209228,,+,0,ENSG00000028137.19,protein_coding,TNFRSF1B,2,HGNC:11917,OTTHUMG00000001829.1,,,,,ncRNA_host,,,,,,
